No,Latitude,Longitude,Peso
1426836605,2.8258139,-60.7051248,0
1426836610,2.8176041,-60.7110377,0
1426836611,2.8175398,-60.7118903,0
1426836613,2.8248794,-60.706867,0
1426836615,2.8154158,-60.703212,0
1426836616,2.8256323,-60.7041507,0
1426836621,2.825962,-60.7058483,0
1426836623,2.8155669,-60.7116185,0
1426836624,2.8248315,-60.6999926,0
1426836626,2.8293193,-60.7148308,0
1426836627,2.8246159,-60.7034342,0
1426836628,2.8297356,-60.7170805,0
1426836630,2.8246839,-60.7042924,0
1426836632,2.8072513,-60.7037043,0
1426836637,2.8278877,-60.6976714,0
1426836640,2.8153976,-60.7022028,0
1426836641,2.8324344,-60.7302648,0
1426836646,2.8352193,-60.7274119,0
1426836649,2.8273311,-60.7126788,0
1426836650,2.8300073,-60.7106433,0
1426836651,2.8338106,-60.7301292,0
1426836654,2.8160835,-60.6990389,0
1426836657,2.8249972,-60.7008576,0
1426836664,2.8132377,-60.7052961,0
1426836667,2.8355026,-60.7300496,0
1426836670,2.8174833,-60.7127308,0
1426836671,2.8244908,-60.6982215,0
1426836672,2.8269818,-60.7109991,0
1426836673,2.8157986,-60.7022387,0
1426836674,2.8250821,-60.7094568,0
1426836675,2.812102,-60.7044069,0
1426836678,2.8266477,-60.7093356,0
1426836682,2.8271533,-60.7118545,0
1426836687,2.8182462,-60.7008073,0
1426836688,2.8155176,-60.7124433,0
1426836689,2.8251308,-60.7016006,0
1426836691,2.8247925,-60.7059851,0
1426836701,2.8264631,-60.7083524,0
1426836707,2.8158487,-60.7004993,0
1426836716,2.8262943,-60.7075135,0
1426836718,2.8249704,-60.707678,0
1426836719,2.8157683,-60.7030479,0
1426836726,2.8211323,-60.7010259,0
1426836728,2.8157501,-60.7039231,0
1426836729,2.8324485,-60.738235,0
1426836732,2.8073214,-60.706244,0
1426836734,2.8261285,-60.7066754,0
1426836736,2.8095607,-60.7091032,0
1426836737,2.8245335,-60.7025737,0
1426836741,2.8253019,-60.7024538,0
1426836742,2.8246587,-60.6991069,0
1426838229,2.8064346,-60.7470452,0
1426838293,2.8078764,-60.7453516,0
1426838319,2.7994349,-60.7460743,0
1426838361,2.8040415,-60.7390751,0
1426840829,2.8035794,-60.7468881,0
1673568110,2.792524,-60.6987764,0
1673568135,2.7995869,-60.677309,0
1673568150,2.8023336,-60.6823229,0
1673568197,2.8049416,-60.7469434,0
1673568218,2.8064785,-60.6896845,0
1673568220,2.8070607,-60.6801647,0
1673568237,2.8077881,-60.7471276,0
1673568240,2.808729,-60.6913023,0
1673568242,2.8088022,-60.6821065,0
1673568254,2.8091403,-60.7471999,0
1673568257,2.8099781,-60.6915552,0
1673568271,2.8104911,-60.7472572,0
1673568281,2.8121045,-60.6920832,0
1673568308,2.8159834,-60.693264,0
1673568329,2.8176446,-60.7101759,0
1673568332,2.817697,-60.70934,0
1673568334,2.8177497,-60.7084989,0
1673568337,2.8178048,-60.7076185,0
1673568340,2.8178573,-60.7067812,0
1673568342,2.8179095,-60.7058982,0
1673568345,2.817979,-60.7052141,0
1673568347,2.8180361,-60.7042159,0
1673568350,2.8180935,-60.7033356,0
1673568351,2.818152,-60.7025094,0
1673568352,2.8182059,-60.7016504,0
1673568353,2.8186625,-60.712892,0
1673568354,2.8187038,-60.7119986,0
1673568355,2.8187778,-60.7111794,0
1673568357,2.8188445,-60.7103215,0
1673568358,2.8188927,-60.7094774,0
1673568360,2.8189511,-60.7086116,0
1673568363,2.8190089,-60.7077547,0
1673568365,2.8190643,-60.7069017,0
1673568368,2.8191219,-60.706056,0
