Source,Target,Distancia
1685324569,1685324575,147.827
1685324571,1685324569,74.895
1685324571,1925415293,154.647
1685324571,1685324563,179.566
1685324571,1685324575,218.15999999999997
1685324575,1685324569,147.827
1685324575,1685324571,218.15999999999997
1685324575,1685324579,88.49199999999999
1685324579,655057565,95.75
1685324579,1685324575,88.49199999999999
1685324581,1683886515,74.307
1685324581,1685324555,174.314
1685324581,6951182952,71.836
1685324587,1685324565,140.379
1685324587,1687960941,165.454
1685324587,655057576,115.247
1685344706,1685344825,97.851
1685344706,1685344774,213.511
1685344706,1925415292,211.701
1685344706,1684682950,57.194
1685344708,1685344826,101.926
1685344708,1685344825,98.277
1685344708,1685344823,213.081
1685344708,1685344773,164.054
1685344715,1685344793,131.834
1685344715,1712668319,91.15
1685344718,1685344811,155.067
1685344718,1685344744,231.906
1685344718,655057595,104.68
1685344720,1426836649,9.44
1685344720,1712668297,221.947
1685344720,1719383735,59.464
